dataset,class_model,metrics,result
jm1,R_C_NB,precision,0.09930750378318193
jm1,R_C_NB,recall,-0.18176761078927328
jm1,R_C_NB,pf,-0.013014674570838325
jm1,R_C_NB,bal,-0.07234128274525342
jm1,R_C_NB,gmean2,-0.0851035448824693
jm1,R_C_NB,auc,-0.12069417477677924
kc3,R_C_NB,precision,0.0831918414425884
kc3,R_C_NB,recall,-0.07830560622696936
kc3,R_C_NB,pf,0.0028619620903727605
kc3,R_C_NB,bal,-0.02997017974837768
kc3,R_C_NB,gmean2,-0.03286414753564515
kc3,R_C_NB,auc,-0.02529588029966312
cm1,R_C_NB,precision,-0.021607495739152188
cm1,R_C_NB,recall,0.05569439377303065
cm1,R_C_NB,pf,0.10978006553864866
cm1,R_C_NB,bal,-0.0501593643542525
cm1,R_C_NB,gmean2,-0.04102802435487307
cm1,R_C_NB,auc,-0.03745727021482448
pc3,R_C_NB,precision,-0.0023007229245834426
pc3,R_C_NB,recall,0.1272987893774261
pc3,R_C_NB,pf,0.0642646776558824
pc3,R_C_NB,bal,0.03228238268294692
pc3,R_C_NB,gmean2,0.040475776564553034
pc3,R_C_NB,auc,0.021067082758726263
pc4,R_C_NB,precision,0.04880280070599696
pc4,R_C_NB,recall,0.10162903429590653
pc4,R_C_NB,pf,-0.04651303790962724
pc4,R_C_NB,bal,0.09489117208560394
pc4,R_C_NB,gmean2,0.09320877339034583
pc4,R_C_NB,auc,0.07042338032125206
mw1,R_C_NB,precision,-0.06653579203504509
mw1,R_C_NB,recall,-0.124972272893636
mw1,R_C_NB,pf,0.023378266438198847
mw1,R_C_NB,bal,-0.05829553682989752
mw1,R_C_NB,gmean2,-0.0709274906246824
mw1,R_C_NB,auc,-0.06290782172478393
pc1,R_C_NB,precision,-0.07003577904843636
pc1,R_C_NB,recall,0.16717058424922138
pc1,R_C_NB,pf,0.11363840439806516
pc1,R_C_NB,bal,-0.0024974847801847444
pc1,R_C_NB,gmean2,0.019704834714661446
pc1,R_C_NB,auc,0.020425264007418842
pc5,R_C_NB,precision,0.03452171017053868
pc5,R_C_NB,recall,-0.04533049310479731
pc5,R_C_NB,pf,-0.28515880875545807
pc5,R_C_NB,bal,0.12294296847588992
pc5,R_C_NB,gmean2,0.1335960831425439
pc5,R_C_NB,auc,0.16034842472413624
mc1,R_C_NB,precision,-0.1883775506058859
mc1,R_C_NB,recall,0.021194393773030784
mc1,R_C_NB,pf,0.016323467509352374
mc1,R_C_NB,bal,0.01603668603137609
mc1,R_C_NB,gmean2,0.017416326084058853
mc1,R_C_NB,auc,0.0010342112832957273
pc2,R_C_NB,precision,-0.1851259451593788
pc2,R_C_NB,recall,0.026694393773030622
pc2,R_C_NB,pf,-0.031963951151636305
pc2,R_C_NB,bal,-0.005422931516462448
pc2,R_C_NB,gmean2,-0.021198482259067508
pc2,R_C_NB,auc,0.06401412255421812
mc2,A_C_RF,precision,0.21995194393237086
mc2,A_C_RF,recall,0.2159280852410475
mc2,A_C_RF,pf,0.22688170020852935
mc2,A_C_RF,bal,0.019488170293026408
mc2,A_C_RF,gmean2,0.05474181437732595
mc2,A_C_RF,auc,-0.05782340842982936
jm1,A_C_RF,precision,-0.004535762498176971
jm1,A_C_RF,recall,0.047433217833006414
jm1,A_C_RF,pf,0.2368489669843067
jm1,A_C_RF,bal,-0.04315980945160014
jm1,A_C_RF,gmean2,-0.016355357690984396
jm1,A_C_RF,auc,-0.17093708105340777
kc3,A_C_RF,precision,0.030097326327753166
kc3,A_C_RF,recall,-0.0985719147589525
kc3,A_C_RF,pf,-0.008618299791470663
kc3,A_C_RF,bal,-0.045836894200508516
kc3,A_C_RF,gmean2,-0.07102388447780372
kc3,A_C_RF,auc,-0.058601186207607014
cm1,A_C_RF,precision,-0.008015187792113854
cm1,A_C_RF,recall,-0.021571914758952482
cm1,A_C_RF,pf,0.015083670651879044
cm1,A_C_RF,bal,-0.005521861705677367
cm1,A_C_RF,gmean2,0.0019261486817170326
cm1,A_C_RF,auc,-0.02621766814520987
pc3,A_C_RF,precision,-0.011653573104449477
pc3,A_C_RF,recall,-0.13104444223147999
pc3,A_C_RF,pf,-0.05526611614085475
pc3,A_C_RF,bal,-0.04922109317344625
pc3,A_C_RF,gmean2,-0.028951580238395835
pc3,A_C_RF,auc,-0.003200643627753297
pc4,A_C_RF,precision,0.3072070175750289
pc4,A_C_RF,recall,-0.03523858142561914
pc4,A_C_RF,pf,-0.16475892479147067
pc4,A_C_RF,bal,0.03106228325968796
pc4,A_C_RF,gmean2,0.08153792325629938
pc4,A_C_RF,auc,0.16420079500154316
mw1,A_C_RF,precision,-0.08763952015909335
mw1,A_C_RF,recall,0.07642808524104755
mw1,A_C_RF,pf,0.12945087016900367
mw1,A_C_RF,bal,-0.008342247522690749
mw1,A_C_RF,gmean2,-0.004370716898707827
mw1,A_C_RF,auc,-0.09522388054225794
pc1,A_C_RF,precision,-0.03547343274745465
pc1,A_C_RF,recall,-0.015000486187523865
pc1,A_C_RF,pf,-0.047685607483778314
pc1,A_C_RF,bal,0.019789584040847408
pc1,A_C_RF,gmean2,0.025251371474056095
pc1,A_C_RF,auc,0.025112784717301384
pc5,A_C_RF,precision,-0.12358596625864424
pc5,A_C_RF,recall,0.2902817805653311
pc5,A_C_RF,pf,-0.029573008849658994
pc5,A_C_RF,bal,0.20779281165252972
pc5,A_C_RF,gmean2,0.2422852512818816
pc5,A_C_RF,auc,0.154761320363477
mc1,A_C_RF,precision,-0.1617697686725708
mc1,A_C_RF,recall,-0.20007191475895247
mc1,A_C_RF,pf,-0.13918597095192534
mc1,A_C_RF,bal,-0.0849378891766151
mc1,A_C_RF,gmean2,-0.11807318302365316
mc1,A_C_RF,auc,-0.012094465351144112
pc2,A_C_RF,precision,-0.12458307660264979
pc2,A_C_RF,recall,-0.12857191475895247
pc2,A_C_RF,pf,-0.16317728000456044
pc2,A_C_RF,bal,-0.041113054015552986
pc2,A_C_RF,gmean2,-0.16696778674173413
pc2,A_C_RF,auc,0.08002343327488903
mc2,A_C_NB,precision,0.2877885787345099
mc2,A_C_NB,recall,-0.057910002368966706
mc2,A_C_NB,pf,0.04235101061726648
mc2,A_C_NB,bal,-0.04074141916576868
mc2,A_C_NB,gmean2,-0.044752819256491994
mc2,A_C_NB,auc,-0.07968562789515776
jm1,A_C_NB,precision,0.09452132910859698
jm1,A_C_NB,recall,-0.16537279107726444
jm1,A_C_NB,pf,-0.0013992166967905506
jm1,A_C_NB,bal,-0.06776010605278637
jm1,A_C_NB,gmean2,-0.07862423833781074
jm1,A_C_NB,auc,-0.11727005512148592
kc3,A_C_NB,precision,0.07755397999991107
kc3,A_C_NB,recall,-0.03557666903563339
kc3,A_C_NB,pf,0.01782323283948878
kc3,A_C_NB,bal,-0.016593179164780314
kc3,A_C_NB,gmean2,-0.01669885646291669
kc3,A_C_NB,auc,-0.01910576678404652
cm1,A_C_NB,precision,-0.025580623099088345
cm1,A_C_NB,recall,0.06608999763103329
cm1,A_C_NB,pf,0.13435566305295338
cm1,A_C_NB,bal,-0.06320537555559547
cm1,A_C_NB,gmean2,-0.04940407949194692
cm1,A_C_NB,auc,-0.03808161516937758
pc3,A_C_NB,precision,-0.002039490693776458
pc3,A_C_NB,recall,-0.02630011225907658
pc3,A_C_NB,pf,-0.01841015648488603
pc3,A_C_NB,bal,0.0166684388912538
pc3,A_C_NB,gmean2,0.012279789478288117
pc3,A_C_NB,auc,-0.04279702173880939
pc4,A_C_NB,precision,0.05464227677695008
pc4,A_C_NB,recall,0.1091455531865887
pc4,A_C_NB,pf,-0.05790072549384462
pc4,A_C_NB,bal,0.10313547560253666
pc4,A_C_NB,gmean2,0.1046367059623231
pc4,A_C_NB,auc,0.08651170155745669
mw1,A_C_NB,precision,-0.07647003764910656
mw1,A_C_NB,recall,-0.1047433357023001
mw1,A_C_NB,pf,0.0490165793480527
mw1,A_C_NB,bal,-0.07675110458854606
mw1,A_C_NB,gmean2,-0.09351716471869054
mw1,A_C_NB,auc,-0.050935339686988934
pc1,A_C_NB,precision,-0.07084390983812411
pc1,A_C_NB,recall,0.18811380715484294
pc1,A_C_NB,pf,0.1312158610446169
pc1,A_C_NB,bal,-0.008689669412610956
pc1,A_C_NB,gmean2,0.018055422952008016
pc1,A_C_NB,auc,0.02661356509934787
pc5,A_C_NB,precision,0.02254145649687503
pc5,A_C_NB,recall,-0.029626442791289453
pc5,A_C_NB,pf,-0.2893794766186196
pc5,A_C_NB,bal,0.13874335740729238
pc5,A_C_NB,gmean2,0.1476227858341047
pc5,A_C_NB,auc,0.16676782386358546
mc1,A_C_NB,precision,-0.18410217168743667
mc1,A_C_NB,recall,0.0225899976310332
mc1,A_C_NB,pf,0.014061073177844607
mc1,A_C_NB,bal,0.017620982923987727
mc1,A_C_NB,gmean2,0.01842376658725231
mc1,A_C_NB,auc,0.007640328686919884
pc2,A_C_NB,precision,-0.1780113881493118
pc2,A_C_NB,recall,0.03358999763103332
pc2,A_C_NB,pf,-0.021733844786082035
pc2,A_C_NB,bal,-0.0024274008849828332
pc2,A_C_NB,gmean2,-0.01802131254611905
pc2,A_C_NB,auc,0.06034200718855631
