name,score
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5",34
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",34
FTR32_mean,34
FTR5_std_y,34
FTR16_std,33
FTR41_max,33
FTR29_std_x,33
FTR14_max_x,33
FTR8_max_y,33
FTR33__percentage_of_reoccurring_datapoints_to_all_datapoints,33
"FTR33__fft_coefficient__coeff_11__attr_""angle""",33
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_10",33
FTR2_kurt,33
"FTR33__fft_coefficient__coeff_14__attr_""angle""",33
FTR34_std,33
FTR44_std_x,33
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_20",33
FTR8_skew,33
"FTR33__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""rvalue""",33
"FTR33__fft_coefficient__coeff_15__attr_""real""",33
FTR28_kurt,33
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10",33
FTR33__time_reversal_asymmetry_statistic__lag_3,33
"FTR33__fft_coefficient__coeff_17__attr_""real""",33
FTR32_min_y,33
FTR17_min_x,33
FTR23_kurt,33
FTR2_std_x,33
FTR21_kurt2_x,32
FTR0_max_y,32
FTR38_kurt2_y,32
FTR8_std,32
FTR34_mean,32
"FTR33__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""stderr""",32
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""intercept""",32
"FTR33__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""rvalue""",32
FTR41_kurt2_y,32
FTR44_max_x,32
FTR23_max_y,32
FTR29_max_x,32
"FTR33__fft_coefficient__coeff_16__attr_""real""",32
FTR38_max,32
"FTR33__fft_coefficient__coeff_8__attr_""abs""",32
FTR30_std_y,32
"FTR33__fft_coefficient__coeff_11__attr_""abs""",31
FTR35_min_y,31
weekday_4,31
FTR8_std_x,31
FTR33__index_mass_quantile__q_0.6,31
FTR33__index_mass_quantile__q_0.8,31
FTR50_kurt,31
FTR32_min,31
"FTR33__fft_coefficient__coeff_16__attr_""angle""",31
FTR33_kurt2_y,31
FTR30_mean_y,31
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",31
"FTR33__fft_coefficient__coeff_14__attr_""imag""",31
FTR41_min_x,31
FTR41_skew_x,31
FTR43_mean,31
"FTR33__fft_coefficient__coeff_13__attr_""imag""",31
